"","id","valor_total_transferido","n_transacciones_exitosas","val_por_transaccion","disposit"
"1",76537,0,0,0,1
"2",76538,2122750,98,21660.7142857143,5
"3",76539,54193621.649,907,59750.4097563396,3
"4",76540,0,338,0,3
"5",76541,28633840,8,3579230,3
"6",76542,0,2145,0,3
"7",76543,53271269.2,171,311527.89005848,5
"8",76544,226196.9,872,259.400114678899,1
"9",76545,0,19,0,3
"10",76546,3897700,5,779540,5
"11",76547,28954522.6,1157,25025.5165082109,5
"12",76548,0,1409,0,5
"13",76549,0,708,0,3
"14",76550,11765380,11,1069580,6
"15",76551,132089210,1054,125321.831119545,5
"16",76552,802170,2103,381.440798858773,4
"17",76553,0,246,0,3
"18",76554,0,22,0,2
"19",76555,0,4,0,3
"20",76556,0,6,0,5
"21",76557,0,245,0,2
"22",76558,4950900,2,2475450,10
"23",76559,597950,1209,494.582299421009,3
"24",76560,0,263,0,1
"25",76561,0,0,0,2
"26",76562,0,2,0,1
"27",76563,729704.85,86,8484.94011627907,5
"28",76564,0,203,0,5
"29",76565,16615358.7,74,224531.874324324,2
"30",76566,0,1006,0,2
"31",76567,2689013.2,418,6433.04593301435,4
"32",76568,0,29,0,2
"33",76569,1043528.85,4,260882.2125,3
"34",76570,0,5,0,1
"35",76571,23171843.1,39,594149.823076923,5
"36",76572,943350,499,1890.48096192385,3
"37",76573,0,525,0,4
"38",76574,14226750,7,2032392.85714286,1
"39",76575,0,412,0,2
"40",76576,11736750,0,0,1
"41",76577,0,403,0,1
"42",76578,0,0,0,1
"43",76579,0,29,0,4
"44",76580,3240170.9,961,3371.66586888658,6
"45",76581,0,1621,0,1
"46",76582,12922,272,47.5073529411765,3
"47",76583,0,525,0,1
"48",76584,23800,2,11900,5
"49",76585,0,10,0,2
"50",76586,0,0,0,2
"51",76587,0,16,0,3
"52",76588,0,134,0,4
"53",76589,0,146,0,1
"54",76590,459371.95,656,700.262118902439,5
"55",76591,0,82,0,1
"56",76592,0,2,0,2
"57",76593,100900,9,11211.1111111111,4
"58",76594,833060.3,232,3590.77715517241,6
"59",76595,1785000,415,4301.20481927711,4
"60",76596,0,99,0,1
"61",76597,0,3,0,5
"62",76598,0,6,0,1
"63",76599,16185365.25,343,47187.6537900875,5
"64",76600,0,452,0,4
"65",76601,139882645.45,152,920280.562171053,5
"66",76602,26807649,1784,15026.7090807175,5
"67",76603,0,794,0,3
"68",76604,0,6,0,2
"69",76605,77900,552,141.123188405797,6
"70",76606,0,147,0,4
"71",76607,16353445.4,9,1817049.48888889,4
"72",76608,0,328,0,5
"73",76609,27362085.9,47,582172.040425532,5
"74",76610,0,2533,0,3
"75",76611,8257493,366,22561.456284153,6
"76",76612,0,683,0,2
"77",76613,0,2,0,4
"78",76614,3571075,61,58542.2131147541,2
"79",76615,0,681,0,1
"80",76616,353835,49,7221.12244897959,1
"81",76617,0,255,0,3
"82",76618,5192811,425,12218.3788235294,7
"83",76619,0,705,0,1
"84",76620,174400,158,1103.79746835443,2
"85",76621,0,143,0,1
"86",76622,36805046.6,84,438155.316666667,5
"87",76623,8720220,905,9635.60220994475,6
"88",76624,0,877,0,2
"89",76625,0,0,0,3
"90",76626,0,54,0,4
"91",76627,126250,117,1079.05982905983,5
"92",76628,196830883.95,79,2491530.17658228,4
"93",76629,495250.35,66,7503.79318181818,5
"94",76630,0,374,0,4
"95",76631,50396.55,7,7199.50714285714,2
"96",76632,40950000,6,6825000,5
"97",76633,11873847.5,77,154205.811688312,3
"98",76634,0,722,0,5
"99",76635,2155290,389,5540.5912596401,4
"100",76636,0,376,0,1
