"","id","f_analisis","var_rpta","segmento","valor_total_transferido","n_transacciones_exitosas","val_por_transaccion","disposit"
"1",1,201803,0,4,0,0,0,1
"2",2,201604,0,0,0,233,0,1
"3",3,201608,0,5,123954.1,0,0,4
"4",4,201706,0,4,0,6,0,1
"5",5,201703,0,4,5547550,1671,3319.89826451227,4
"6",6,201707,1,0,0,483,0,3
"7",7,201609,0,2,0,4,0,1
"8",8,201707,0,5,8159355,1,8159355,5
"9",9,201607,0,5,0,1812,0,4
"10",10,201805,0,3,24718202.55,92,268676.114673913,4
"11",11,201608,1,0,0,2266,0,1
"12",12,201804,0,5,14162262,365,38800.7178082192,4
"13",13,201711,0,5,0,2672,0,4
"14",14,201705,0,4,144107492.15,11,13100681.1045455,6
"15",15,201601,0,0,0,3535,0,3
"16",16,201601,1,1,0,9,0,2
"17",17,201608,1,0,0,3,0,4
"18",18,201702,0,5,51669133.05,258,200267.95755814,4
"19",19,201602,0,3,20356529.75,443,45951.5344243792,7
"20",20,201708,0,0,0,964,0,2
"21",21,201702,0,5,0,115,0,1
"22",22,201806,0,5,0,175,0,3
"23",23,201606,0,5,23750,208,114.182692307692,7
"24",24,201708,0,4,0,663,0,3
"25",25,201802,0,5,0,1311,0,4
"26",26,201804,0,4,1717763.35,329,5221.16519756839,3
"27",27,201611,0,2,45383105,370,122657.040540541,5
"28",28,201607,0,1,0,1565,0,1
"29",29,201611,0,5,1480487.05,326,4541.37131901841,8
"30",30,201601,0,5,4000,305,13.1147540983607,2
"31",31,201608,0,5,1039250,278,3738.30935251799,1
"32",32,201710,0,1,15376500,238,64607.1428571429,4
"33",33,201701,0,2,16013500,269,59529.7397769517,5
"34",34,201701,0,5,0,2578,0,3
"35",35,201805,0,5,0,19,0,5
"36",36,201807,0,5,37356558.25,59,633162.004237288,3
"37",37,201611,0,5,0,1036,0,1
"38",38,201604,1,5,4343720.75,87,49927.8247126437,5
"39",39,201611,0,5,42918650,184,233253.532608696,5
"40",40,201605,0,5,0,913,0,1
"41",41,201712,0,5,0,661,0,2
"42",42,201706,0,1,0,293,0,1
"43",43,201802,0,0,244149.15,0,0,7
"44",44,201701,0,0,0,605,0,5
"45",45,201711,0,5,0,161,0,2
"46",46,201705,0,5,0,23,0,3
"47",47,201706,0,4,1235,27,45.7407407407407,4
"48",48,201704,0,0,0,375,0,1
"49",49,201806,0,0,0,2,0,2
"50",50,201708,0,0,0,6,0,5
"51",51,201605,0,5,35388879.65,693,51066.2044011544,5
"52",52,201612,0,5,0,531,0,1
"53",53,201601,0,2,14631623,92,159039.380434783,7
"54",54,201606,0,5,0,488,0,3
"55",55,201803,0,0,2670000,242,11033.0578512397,5
"56",56,201612,0,4,0,221,0,1
"57",57,201802,0,5,247062499.4,10,24706249.94,6
"58",58,201604,0,5,206836.5,2696,76.7197700296736,8
"59",59,201603,0,5,0,443,0,5
"60",60,201710,0,2,35008944.8505,7,5001277.83578571,4
"61",61,201804,0,4,4872980.5,2564,1900.53841653666,4
"62",62,201806,0,5,0,345,0,1
"63",63,201807,0,5,162000,935,173.262032085561,1
"64",64,201712,0,4,11104325,239,46461.6108786611,2
"65",65,201607,0,0,567355,838,677.034606205251,6
"66",66,201807,0,4,689939.9,381,1810.86587926509,7
"67",67,201708,0,0,0,482,0,3
"68",68,201707,0,5,15277630.55,8,1909703.81875,6
"69",69,201803,0,5,75640113.6,162,466914.281481481,3
"70",70,201705,0,0,0,1555,0,4
"71",71,201705,0,5,0,20,0,3
"72",72,201802,0,4,0,8,0,3
"73",73,201804,0,5,1197700,711,1684.5288326301,2
"74",74,201608,1,1,1900000,110,17272.7272727273,7
"75",75,201708,0,5,4063500,1040,3907.21153846154,5
"76",76,201609,0,0,0,1218,0,6
"77",77,201701,0,2,15555348.95,151,103015.555960265,5
"78",78,201701,0,0,14075621.1,343,41036.7962099125,3
"79",79,201701,0,4,52992415.85,548,96701.4887773723,5
"80",80,201701,0,4,136104629.6,1644,82788.704136253,6
"81",81,201704,0,5,0,2064,0,1
"82",82,201612,0,0,0,3,0,6
"83",83,201701,1,5,0,15,0,1
"84",84,201706,0,5,691000,202,3420.79207920792,2
"85",85,201608,0,2,7313328.3,271,26986.4512915129,5
"86",86,201606,0,5,11496287.6,1113,10329.0993710692,6
"87",87,201601,0,5,3541104.5,484,7316.33161157025,6
"88",88,201602,0,5,29406450,589,49926.0611205433,5
"89",89,201706,0,5,0,570,0,4
"90",90,201605,0,5,0,90,0,4
"91",91,201603,0,1,18745882.5,48,390539.21875,6
"92",92,201801,1,5,1763436.15,348,5067.34525862069,3
"93",93,201604,0,0,163734126.4,24,6822255.26666667,6
"94",94,201612,0,5,7582250,2565,2956.04288499025,2
"95",95,201706,0,0,0,391,0,1
"96",96,201802,0,5,0,7,0,3
"97",97,201606,0,5,2122000,5,424400,7
"98",98,201802,0,4,11949119.7,385,31036.6745454545,2
"99",99,201702,0,4,15655490,1493,10485.9276624246,4
"100",100,201610,0,0,0,315,0,4
"101",101,201602,0,0,4100214.5,1035,3961.55990338164,4
"102",102,201710,0,5,16551174.45,594,27863.930050505,3
"103",103,201703,0,4,5854145,307,19068.8762214984,5
"104",104,201710,1,5,0,830,0,1
"105",105,201804,1,0,0,302,0,2
"106",106,201805,0,5,6575247.43,0,0,4
"107",107,201611,0,0,10501540.9,573,18327.2965095986,6
"108",108,201709,0,5,0,17,0,4
"109",109,201704,0,5,0,17,0,4
"110",110,201802,0,5,0,462,0,4
"111",111,201702,0,5,0,15,0,3
"112",112,201706,0,4,14582710.45,423,34474.4927895981,7
"113",113,201608,0,5,885000,1639,539.963392312386,5
"114",114,201710,0,4,1341380,68,19726.1764705882,5
"115",115,201703,0,5,0,1286,0,1
"116",116,201712,0,4,55802072.5,0,0,1
"117",117,201702,0,5,0,3419,0,1
"118",118,201802,1,0,0,41,0,2
"119",119,201711,0,5,4867664.15,5,973532.83,2
"120",120,201602,1,5,0,9,0,1
"121",121,201802,0,5,0,30,0,3
"122",122,201709,0,4,18976675.3,89,213221.070786517,7
"123",123,201604,0,0,0,944,0,1
"124",124,201602,0,5,1894927.95,202,9380.83143564356,4
"125",125,201703,0,1,0,335,0,1
"126",126,201709,0,5,0,9,0,5
"127",127,201612,0,0,1306400,294,4443.53741496599,5
"128",128,201706,0,4,54670608.3,407,134325.818918919,7
"129",129,201803,0,5,160776845.65,704,228376.201207386,7
"130",130,201712,0,5,104500,3600,29.0277777777778,5
"131",131,201701,0,4,0,141,0,1
"132",132,201806,0,1,0,214,0,4
"133",133,201604,0,1,0,29,0,3
"134",134,201707,0,0,0,17,0,5
"135",135,201604,0,1,0,16,0,1
"136",136,201802,0,5,516719630.35,2,258359815.175,7
"137",137,201806,1,5,0,4562,0,3
"138",138,201801,0,5,0,58,0,2
"139",139,201806,0,4,2599759,2,1299879.5,5
"140",140,201804,0,5,0,767,0,1
"141",141,201803,0,5,1563171440.0335,2,781585720.01675,5
"142",142,201712,0,5,0,2232,0,4
"143",143,201604,0,0,0,486,0,3
"144",144,201802,0,5,0,626,0,2
"145",145,201604,0,0,0,75,0,3
"146",146,201803,0,5,790060,5,158012,2
"147",147,201709,0,4,1581750,412,3839.19902912621,4
"148",148,201706,0,5,1519819.9,146,10409.7253424658,5
"149",149,201705,0,5,40688952.8,819,49681.261050061,6
"150",150,201609,0,0,0,2786,0,4
"151",151,201611,0,5,0,411,0,1
"152",152,201607,0,1,0,386,0,2
"153",153,201709,0,5,21756271.55,2,10878135.775,6
"154",154,201805,0,5,0,1782,0,1
"155",155,201611,0,1,108000,5,21600,3
"156",156,201707,0,4,20000,28,714.285714285714,4
"157",157,201712,0,0,0,415,0,2
"158",158,201801,0,0,0,13,0,2
"159",159,201609,0,4,661200,231,2862.33766233766,6
"160",160,201607,0,5,2798100,95,29453.6842105263,5
"161",161,201708,0,4,28464188.95,835,34088.8490419162,7
"162",162,201803,0,1,1785004.2,1647,1083.7912568306,6
"163",163,201612,0,0,0,348,0,3
"164",164,201708,0,0,0,186,0,1
"165",165,201712,0,5,16824425.25,24,701017.71875,4
"166",166,201603,0,5,0,1493,0,2
"167",167,201803,0,5,0,2,0,3
"168",168,201706,0,0,0,594,0,3
"169",169,201610,0,0,10755824.5,0,0,7
"170",170,201608,0,5,5517940,2984,1849.17560321716,5
"171",171,201802,0,4,694567.8,876,792.885616438356,6
"172",172,201607,0,4,0,183,0,3
"173",173,201705,0,5,412021,153,2692.9477124183,8
"174",174,201705,0,0,0,464,0,1
"175",175,201708,0,1,0,15,0,2
"176",176,201601,0,0,0,8,0,3
"177",177,201804,0,4,3339660,84,39757.8571428571,1
"178",178,201601,0,4,1920000,634,3028.39116719243,4
"179",179,201704,0,5,981500,455,2157.14285714286,5
"180",180,201709,0,4,0,375,0,4
"181",181,201804,1,1,0,147,0,1
"182",182,201709,0,5,285000,0,0,5
"183",183,201603,0,2,51067833.1,173,295189.786705202,7
"184",184,201607,0,5,1656250,1744,949.684633027523,6
"185",185,201708,0,5,81390151.75,511,159276.226516634,4
"186",186,201602,0,0,0,259,0,3
"187",187,201609,0,5,20205247.15,11,1836840.65,6
"188",188,201609,0,3,35319000,402,87858.2089552239,5
"189",189,201702,0,5,0,308,0,4
"190",190,201604,0,5,0,201,0,4
"191",191,201807,0,0,12001584.85,58,206923.876724138,5
"192",192,201801,0,4,1629041.5,384,4242.29557291667,4
"193",193,201612,0,5,0,1833,0,3
"194",194,201606,0,3,10103187.1,9,1122576.34444444,6
"195",195,201704,0,5,12340150,1390,8877.80575539568,5
"196",196,201710,0,4,0,1064,0,1
"197",197,201804,0,5,28109868.45,61,460817.515573771,5
"198",198,201705,0,5,0,980,0,5
"199",199,201610,1,5,364234.15,231,1576.77121212121,4
"200",200,201607,0,0,0,144,0,1
"201",201,201801,0,4,0,95,0,2
"202",202,201703,0,5,6079906.55,113,53804.4827433628,5
"203",203,201803,0,5,52058551,459,113417.322440087,5
"204",204,201602,0,0,1005000,965,1041.45077720207,6
"205",205,201703,1,5,13812500,158,87420.8860759494,5
"206",206,201712,0,4,0,556,0,3
"207",207,201701,0,5,0,616,0,2
"208",208,201802,0,4,11466309.5,159,72115.1540880503,4
"209",209,201802,0,0,0,600,0,1
"210",210,201610,0,5,0,1,0,6
"211",211,201605,0,5,91883470.65,316,290770.476740506,8
"212",212,201804,0,5,27451387.85,2459,11163.6388165921,3
"213",213,201711,0,5,1050000,905,1160.22099447514,4
"214",214,201712,0,4,0,175,0,1
"215",215,201802,0,3,14105965,69,204434.275362319,5
"216",216,201604,0,0,0,790,0,2
"217",217,201807,0,0,1434532.35,0,0,4
"218",218,201705,0,2,79586978.1,534,149039.284831461,5
"219",219,201802,0,5,22128178.7,241,91818.1688796681,5
"220",220,201707,0,1,26047126.5,1292,20160.314628483,3
"221",221,201712,0,5,65140772.841,131,497257.807946565,5
"222",222,201707,0,2,168611951.55,4022,41922.4146071606,7
"223",223,201611,0,0,0,3946,0,4
"224",224,201609,0,5,0,14,0,2
"225",225,201703,0,1,1782500,28,63660.7142857143,5
"226",226,201803,0,5,0,166,0,1
"227",227,201606,0,0,0,1,0,5
"228",228,201709,0,5,0,175,0,1
"229",229,201611,1,5,7781250,4,1945312.5,6
"230",230,201604,0,4,0,254,0,3
"231",231,201802,0,5,20957500,183,114521.857923497,5
"232",232,201611,0,2,16134515.65,207,77944.5200483092,5
"233",233,201601,0,1,0,3022,0,1
"234",234,201609,0,5,2850000,32,89062.5,4
"235",235,201804,0,1,0,12,0,1
"236",236,201804,0,4,22460080.2,1,22460080.2,4
"237",237,201612,0,5,0,640,0,2
"238",238,201604,0,5,0,4,0,1
"239",239,201602,0,4,0,77,0,1
"240",240,201708,0,1,12555435.35,47,267136.922340426,4
"241",241,201806,0,5,3284113.5,36,91225.375,8
"242",242,201608,0,5,420000,465,903.225806451613,1
"243",243,201807,0,2,137459137.3,153,898425.733986928,6
"244",244,201709,0,0,0,4413,0,1
"245",245,201602,0,5,0,160,0,2
"246",246,201602,1,1,0,142,0,6
"247",247,201710,0,0,0,91,0,6
"248",248,201803,0,5,9417.85,48,196.205208333333,4
"249",249,201606,0,4,0,30,0,4
"250",250,201807,0,5,29137844.05,286,101880.573601399,2
"251",251,201805,0,5,4889350,637,7675.58869701727,4
"252",252,201611,0,5,2850,440,6.47727272727273,3
"253",253,201612,0,5,43116573.55,24,1796523.89791667,6
"254",254,201705,0,5,0,1650,0,1
"255",255,201805,0,4,13369715.85,16,835607.240625,3
"256",256,201612,0,0,1942.5,449,4.32628062360802,5
"257",257,201706,0,0,0,1744,0,4
"258",258,201612,0,1,158087.6,479,330.036743215031,3
"259",259,201807,0,5,0,12,0,3
"260",260,201610,0,5,0,15,0,4
"261",261,201604,0,5,0,268,0,6
"262",262,201807,0,4,0,5319,0,2
"263",263,201603,0,5,21136000,135,156562.962962963,5
"264",264,201807,0,5,28193144.95,807,34935.7434324659,6
"265",265,201704,0,3,0,622,0,3
"266",266,201703,0,0,0,17,0,4
"267",267,201609,0,5,0,3,0,2
"268",268,201609,0,4,0,0,0,2
"269",269,201603,0,4,0,24,0,1
"270",270,201703,0,4,5454750,157,34743.6305732484,5
"271",271,201710,0,0,0,389,0,3
"272",272,201602,0,4,0,11,0,1
"273",273,201601,0,5,5224000,208,25115.3846153846,5
"274",274,201801,0,0,1767943,675,2619.17481481481,2
"275",275,201705,0,5,0,562,0,1
"276",276,201710,0,5,0,4,0,4
"277",277,201708,1,1,0,25,0,1
"278",278,201704,1,5,0,5,0,2
"279",279,201707,0,0,0,80,0,1
"280",280,201712,0,4,58454560,337,173455.667655786,4
"281",281,201608,0,5,0,1673,0,3
"282",282,201609,0,4,34781079.2,206,168840.190291262,8
"283",283,201701,0,5,0,562,0,1
"284",284,201804,0,5,349360,32,10917.5,4
"285",285,201807,0,5,0,680,0,6
"286",286,201605,0,5,5483405,71,77231.0563380282,6
"287",287,201606,0,5,9050,669,13.5276532137519,1
"288",288,201604,0,1,0,2,0,6
"289",289,201611,0,5,1174750,469,2504.79744136461,5
"290",290,201704,0,5,793500,648,1224.53703703704,5
"291",291,201702,0,5,0,557,0,2
"292",292,201712,0,5,6345475.55,2,3172737.775,5
"293",293,201612,0,4,37186962.75,1217,30556.2553410025,6
"294",294,201606,0,5,0,2250,0,3
"295",295,201804,0,4,18387157.2,4,4596789.3,5
"296",296,201709,0,5,0,2687,0,1
"297",297,201601,1,1,71406140.1,4,17851535.025,6
"298",298,201701,0,5,821450,787,1043.77382465057,5
"299",299,201712,0,0,0,345,0,2
"300",300,201611,0,5,201250,28,7187.5,5
"301",301,201710,0,0,0,513,0,2
"302",302,201611,0,4,13169067.5,18,731614.861111111,6
"303",303,201711,0,2,1321936620.3,1079,1225149.7871177,7
"304",304,201706,0,2,69211900,4512,15339.5168439716,7
"305",305,201706,0,4,2427265,1712,1417.79497663551,7
"306",306,201601,0,2,16161315,504,32066.1011904762,5
"307",307,201607,0,2,218086015.908,172,1267941.95295349,4
"308",308,201604,0,4,112440053,2253,49906.8144695961,6
"309",309,201712,0,0,0,2363,0,2
"310",310,201703,0,5,21888615.25,286,76533.6197552448,6
"311",311,201802,0,5,0,702,0,1
"312",312,201609,0,0,0,12,0,1
"313",313,201711,0,5,5022150,1,5022150,9
"314",314,201802,0,1,0,1232,0,1
"315",315,201709,0,4,0,65,0,5
"316",316,201802,0,4,1e+06,14,71428.5714285714,4
"317",317,201802,0,5,40720935848.25,43,946998508.098837,6
"318",318,201610,0,2,15655650,4472,3500.81618962433,5
"319",319,201703,0,5,0,1204,0,6
"320",320,201612,0,5,0,35,0,2
"321",321,201710,0,2,0,4,0,1
"322",322,201702,0,4,84242612.05,3890,21656.198470437,4
